Gazepoint Analysis,v6.8.0
Processed on,Tue May  7 15:43:40 2024

Note: -1 values indicate an AOI that was never viewed
AOI Summary
Media ID, Media Name, Media Duration (sec - U=UserControlled), AOI ID, AOI Name, AOI Start (sec), AOI Duration (sec - U=UserControlled), Viewers (#), Total Viewers (#), Ave Time to 1st View(sec) -1.0 means not viewed, Ave Time Viewed (sec), Ave Time Viewed (%), Ave Fixations (#), Revisitors (#), Average Revisits (#), Average Clicks (#), 
2, INDEPENDENT_14_03_24_A.png, 10.000, 31, AOI 31, 0.000, 10.000, 5, 13, 3.555, 0.463, 4.634, 3.000, 5, 1.800, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 32, AOI 32, 0.000, 10.000, 1, 13, 5.568, 0.066, 0.659, 1.000, 0, 0.000, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 114, AOI 20, 0.000, 10.000, 9, 13, 2.258, 0.319, 3.193, 1.333, 2, 1.500, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 115, AOI 21, 0.000, 10.000, 10, 13, 3.243, 0.332, 3.316, 1.600, 2, 1.000, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 116, AOI 22, 10.000, 0.000, 0, 13, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 117, AOI 23, 0.000, 10.000, 12, 13, 1.652, 0.723, 7.227, 4.000, 10, 3.000, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 118, AOI 24, 0.000, 10.000, 5, 13, 1.367, 0.316, 3.160, 2.000, 2, 2.500, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 119, AOI 25, 0.000, 10.000, 9, 13, 3.145, 0.333, 3.334, 2.222, 6, 1.500, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 120, AOI 26, 0.000, 10.000, 5, 13, 5.527, 0.319, 3.188, 1.400, 2, 1.500, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 121, AOI 27, 0.000, 10.000, 5, 13, 4.810, 0.174, 1.741, 1.200, 0, 0.000, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 122, AOI 28, 0.000, 10.000, 1, 13, 5.371, 0.161, 1.614, 1.000, 0, 0.000, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 123, AOI 29, 0.000, 10.000, 13, 13, 2.592, 1.294, 12.936, 5.231, 11, 3.818, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 124, AOI 30, 0.000, 10.000, 12, 13, 4.614, 0.618, 6.179, 3.083, 9, 2.222, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 125, AOI 31, 0.000, 10.000, 5, 13, 3.555, 0.463, 4.634, 3.000, 5, 1.800, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 126, AOI 32, 0.000, 10.000, 1, 13, 5.568, 0.066, 0.659, 1.000, 0, 0.000, 0.000, 
3, LOVIN_MALTA_04_03_24_A.png, 10.000, 33, AOI 33, 0.000, 10.000, 13, 13, 0.870, 2.923, 29.226, 11.692, 13, 4.462, 0.000, 
3, LOVIN_MALTA_04_03_24_A.png, 10.000, 34, AOI 34, 0.000, 10.000, 13, 13, 2.029, 0.522, 5.223, 3.615, 11, 3.000, 0.000, 
3, LOVIN_MALTA_04_03_24_A.png, 10.000, 35, AOI 35, 0.000, 10.000, 13, 13, 1.641, 2.267, 22.675, 9.923, 13, 4.000, 0.000, 
3, LOVIN_MALTA_04_03_24_A.png, 10.000, 36, AOI 36, 0.000, 10.000, 12, 13, 3.921, 1.142, 11.420, 3.917, 7, 2.000, 0.000, 
3, LOVIN_MALTA_04_03_24_A.png, 10.000, 127, AOI 33, 0.000, 10.000, 13, 13, 0.870, 2.923, 29.226, 11.692, 13, 4.462, 0.000, 
3, LOVIN_MALTA_04_03_24_A.png, 10.000, 128, AOI 34, 0.000, 10.000, 13, 13, 2.029, 0.522, 5.223, 3.615, 11, 3.000, 0.000, 
3, LOVIN_MALTA_04_03_24_A.png, 10.000, 129, AOI 35, 0.000, 10.000, 13, 13, 1.641, 2.267, 22.675, 9.923, 13, 4.000, 0.000, 
3, LOVIN_MALTA_04_03_24_A.png, 10.000, 130, AOI 36, 0.000, 10.000, 12, 13, 3.921, 1.142, 11.420, 3.917, 7, 2.000, 0.000, 
4, MALTA_TODAY_14_03_24_A.png, 10.000, 37, AOI 37, 0.000, 10.000, 8, 13, 4.256, 0.413, 4.126, 2.500, 6, 1.500, 0.000, 
4, MALTA_TODAY_14_03_24_A.png, 10.000, 38, AOI 38, 0.000, 10.000, 9, 13, 1.816, 0.385, 3.854, 3.333, 8, 3.000, 0.000, 
4, MALTA_TODAY_14_03_24_A.png, 10.000, 39, AOI 39, 0.000, 10.000, 13, 13, 0.648, 2.779, 27.793, 11.538, 13, 4.000, 0.000, 
4, MALTA_TODAY_14_03_24_A.png, 10.000, 40, AOI 40, 0.000, 10.000, 11, 13, 2.899, 1.333, 13.325, 6.364, 11, 3.364, 0.000, 
4, MALTA_TODAY_14_03_24_A.png, 10.000, 41, AOI 41, 0.000, 10.000, 10, 13, 4.230, 0.533, 5.332, 2.900, 8, 1.875, 0.000, 
4, MALTA_TODAY_14_03_24_A.png, 10.000, 42, AOI 42, 0.000, 10.000, 11, 13, 4.506, 0.454, 4.544, 2.364, 4, 1.750, 0.000, 
4, MALTA_TODAY_14_03_24_A.png, 10.000, 43, AOI 43, 0.000, 10.000, 8, 13, 6.657, 0.485, 4.852, 1.875, 0, 0.000, 0.000, 
4, MALTA_TODAY_14_03_24_A.png, 10.000, 44, AOI 44, 0.000, 10.000, 7, 13, 5.196, 0.331, 3.313, 1.143, 2, 1.000, 0.000, 
4, MALTA_TODAY_14_03_24_A.png, 10.000, 45, AOI 45, 0.000, 10.000, 6, 13, 5.446, 0.350, 3.498, 2.667, 5, 1.800, 0.000, 
4, MALTA_TODAY_14_03_24_A.png, 10.000, 46, AOI 46, 0.000, 10.000, 7, 13, 6.271, 0.322, 3.224, 1.571, 1, 1.000, 0.000, 
4, MALTA_TODAY_14_03_24_A.png, 10.000, 131, AOI 37, 0.000, 10.000, 8, 13, 4.256, 0.413, 4.126, 2.500, 6, 1.500, 0.000, 
4, MALTA_TODAY_14_03_24_A.png, 10.000, 132, AOI 38, 0.000, 10.000, 9, 13, 1.816, 0.385, 3.854, 3.333, 8, 3.000, 0.000, 
4, MALTA_TODAY_14_03_24_A.png, 10.000, 133, AOI 39, 0.000, 10.000, 13, 13, 0.648, 2.779, 27.793, 11.538, 13, 4.000, 0.000, 
4, MALTA_TODAY_14_03_24_A.png, 10.000, 134, AOI 40, 0.000, 10.000, 11, 13, 2.899, 1.333, 13.325, 6.364, 11, 3.364, 0.000, 
4, MALTA_TODAY_14_03_24_A.png, 10.000, 135, AOI 41, 0.000, 10.000, 10, 13, 4.230, 0.533, 5.332, 2.900, 8, 1.875, 0.000, 
4, MALTA_TODAY_14_03_24_A.png, 10.000, 136, AOI 42, 0.000, 10.000, 11, 13, 4.506, 0.454, 4.544, 2.364, 4, 1.750, 0.000, 
4, MALTA_TODAY_14_03_24_A.png, 10.000, 137, AOI 43, 0.000, 10.000, 8, 13, 6.657, 0.485, 4.852, 1.875, 0, 0.000, 0.000, 
4, MALTA_TODAY_14_03_24_A.png, 10.000, 138, AOI 44, 0.000, 10.000, 7, 13, 5.196, 0.331, 3.313, 1.143, 2, 1.000, 0.000, 
4, MALTA_TODAY_14_03_24_A.png, 10.000, 139, AOI 45, 0.000, 10.000, 6, 13, 5.446, 0.350, 3.498, 2.667, 5, 1.800, 0.000, 
4, MALTA_TODAY_14_03_24_A.png, 10.000, 140, AOI 46, 0.000, 10.000, 7, 13, 6.271, 0.322, 3.224, 1.571, 1, 1.000, 0.000, 
5, MOBILE_A.png, 10.000, 47, AOI 47, 0.000, 10.000, 13, 13, 2.468, 0.563, 5.627, 3.154, 8, 3.000, 0.000, 
5, MOBILE_A.png, 10.000, 48, AOI 48, 0.000, 10.000, 12, 13, 1.272, 0.429, 4.292, 3.167, 10, 2.500, 0.000, 
